,area,area_name,country_name,latitude,longitude,mental_scale,upper
1,AL,St Albans,,51.7755,-0.283795,1,ST ALBANS
9,BN,Brighton,,50.8289,-0.11955,1,BRIGHTON
11,BS,Bristol,,51.4489,-2.62239,2,BRISTOL
13,CA,Carlisle,,54.7318,-3.10828,1,CARLISLE
14,CB,Cambridge,,52.2067,0.189054,1,CAMBRIDGE
15,CF,Cardiff,,51.5343,-3.29374,2,CARDIFF
16,CH,Chester,,53.2905,-3.02015,1,CHESTER
17,CM,Chelmsford,,51.7583,0.403764,1,CHELMSFORD
19,CR,Croydon,,51.356,-0.103301,5,CROYDON
20,CT,Canterbury,,51.2555,1.2316,2,CANTERBURY
21,CV,Coventry,,52.3671,-1.50128,2,COVENTRY
27,DH,Durham,,54.825,-1.61387,1,DURHAM
29,DN,Doncaster,,53.5411,-0.720631,1,DONCASTER
32,E,East London,,51.5434,-0.0158165,6,EAST LONDON
33,EC,Central London,,51.5188,-0.0967554,1,CENTRAL LONDON
36,EX,Exeter,,50.8269,-3.65629,1,EXETER
39,G,Glasgow,,55.8688,-4.26823,1,GLASGOW
41,GU,Guildford,,51.2314,-0.717471,1,GUILDFORD
54,KT,Kingston upon Thames,,51.36,-0.34317800000000004,1,KINGSTON UPON THAMES
57,L,Liverpool,,53.4158,-2.96295,1,LIVERPOOL
60,LE,Leicester,,52.6442,-1.14855,4,LEICESTER
61,LL,Llandudno,,53.1333,-3.71608,2,LLANDUDNO
67,MK,Milton Keynes,,52.0623,-0.66594,3,MILTON KEYNES
69,N,North London,,51.5853,-0.114104,7,NORTH LONDON
71,NG,Nottingham,,53.0055,-1.07239,1,NOTTINGHAM
77,OX,Oxford,,51.7957,-1.2906,5,OXFORD
79,PE,Peterborough,,52.6268,-0.0449613,1,PETERBOROUGH
84,RG,Reading,,51.4046,-1.02767,1,READING
85,RH,Redhill,,51.1101,-0.208322,2,REDHILL
86,RM,Romford,,51.5469,0.217288,2,ROMFORD
89,SE,South East London,,51.4669,-0.0358059,5,SOUTH EAST LONDON
91,SK,Stockport,,53.3714,-2.0983,1,STOCKPORT
92,SL,Slough,,51.5153,-0.6421819999999999,1,SLOUGH
100,SW,South West London,,51.4641,-0.167506,6,SOUTH WEST LONDON
101,SY,Shrewsbury,,52.6644,-3.04732,1,SHREWSBURY
104,TF,Telford,,52.7131,-2.46186,1,TELFORD
105,TN,Tonbridge,,51.0853,0.441616,1,TONBRIDGE
109,TW,Twickenham,,51.4486,-0.390043,1,TWICKENHAM
111,W,West London,,51.5115,-0.19277,2,WEST LONDON
113,WC,Central London,,51.5176,-0.122596,1,CENTRAL LONDON
119,WV,Wolverhampton,,52.5808,-2.16227,1,WOLVERHAMPTON
13,AUSTRALIA,Australia,AUSTRALIA,-25.274398,133.775136,1,
35,CANADA,Canada,CANADA,56.130366,-106.34677099999999,2,
71,FRANCE,France,FRANCE,46.227638,2.213749,1,
53,GERMANY,Germany,GERMANY,51.165690999999995,10.451526,1,
174,POLAND,Poland,POLAND,51.919438,19.145135999999997,3,
193,SINGAPORE,Singapore,SINGAPORE,1.352083,103.819836,2,
